source_file_id,file_path,speaker_id,label,attack_id,dataset,split
ITW_0,data/raw/in_the_wild/release_in_the_wild/0.wav,Alec_Guinness,1,ITW_spoof,In-the-Wild,eval_eksternal
ITW_1,data/raw/in_the_wild/release_in_the_wild/1.wav,Alec_Guinness,1,ITW_spoof,In-the-Wild,eval_eksternal
ITW_2,data/raw/in_the_wild/release_in_the_wild/2.wav,Barack_Obama,1,ITW_spoof,In-the-Wild,eval_eksternal
ITW_3,data/raw/in_the_wild/release_in_the_wild/3.wav,Alec_Guinness,1,ITW_spoof,In-the-Wild,eval_eksternal
ITW_4,data/raw/in_the_wild/release_in_the_wild/4.wav,Christopher_Hitchens,0,-,In-the-Wild,eval_eksternal
ITW_5,data/raw/in_the_wild/release_in_the_wild/5.wav,Ayn_Rand,0,-,In-the-Wild,eval_eksternal
ITW_6,data/raw/in_the_wild/release_in_the_wild/6.wav,Barack_Obama,1,ITW_spoof,In-the-Wild,eval_eksternal
ITW_7,data/raw/in_the_wild/release_in_the_wild/7.wav,Donald_Trump,0,-,In-the-Wild,eval_eksternal
ITW_8,data/raw/in_the_wild/release_in_the_wild/8.wav,Donald_Trump,0,-,In-the-Wild,eval_eksternal
ITW_9,data/raw/in_the_wild/release_in_the_wild/9.wav,Alec_Guinness,0,-,In-the-Wild,eval_eksternal
ITW_10,data/raw/in_the_wild/release_in_the_wild/10.wav,Bernie_Sanders,1,ITW_spoof,In-the-Wild,eval_eksternal
ITW_11,data/raw/in_the_wild/release_in_the_wild/11.wav,Christopher_Hitchens,0,-,In-the-Wild,eval_eksternal
ITW_12,data/raw/in_the_wild/release_in_the_wild/12.wav,Calvin_Coolidge,0,-,In-the-Wild,eval_eksternal
ITW_13,data/raw/in_the_wild/release_in_the_wild/13.wav,Alec_Guinness,1,ITW_spoof,In-the-Wild,eval_eksternal
ITW_14,data/raw/in_the_wild/release_in_the_wild/14.wav,Barack_Obama,0,-,In-the-Wild,eval_eksternal
